0 82767.00
1 22825.00
2 272.00
3 17745.00
4 14889.00
5 3336.00
6 1295.00
7 4770.00
8 1442.00
9 1021.00
10 1328.00
11 14471.00
12 810.00
13 14.00
14 34296.00
15 803.00
16 6798.00
17 30489.00
18 22920.00
19 484.00
20 7595.00
21 5123.00
22 61.00
23 5108.00
24 7.00
25 19278.00
26 544.00
27 9268.00
28 460.00
29 8160.00
30 1213.00
31 4544.00
32 26547.00
33 6639.00
34 14586.00
35 15156.00
36 1186.00
37 6313.00
38 1101.00
39 13411.00
40 1582.00
41 12619.00
42 9028.00
43 1533.00
44 1642.00
45 16447.00
46 59881.00
47 2030.00
48 5327.00
49 11714.00
50 384.00
51 4871.00
52 11993.00
53 6328.00
54 10524.00
55 12295.00
56 4179.00
57 7518.00
58 4471.00
59 7165.00
60 82.00
61 38.00
62 7779.00
63 36428.00
64 4440.00
65 40759.00
66 19118.00
67 7817.00
68 26977.00
69 12.00
70 17525.00
71 520.00
72 41321.00
73 27578.00
74 3285.00
75 14423.00
76 3806.00
77 14759.00
78 28343.00
79 4772.00
80 3209.00
81 11137.00
82 12753.00
83 2620.00
84 2810.00
85 19649.00
86 39949.00
87 4499.00
88 22449.00
89 55281.00
90 14191.00
91 20857.00
92 3024.00
93 16093.00
94 12920.00
95 10436.00
96 2312.00
97 1069.00
98 5858.00
99 19212.00
